"TOA5","BIOLOGGER","BIOLOGGER","0","BIOLOGGER","BIOLOGGER","0","Tags"
"TIMESTAMP","RECORD","Tag"
"TS","RN",""
"","","Smp"
"2018-09-13 17:03:27",52,"TAG: 01 04 07/02/2018 16:33:42.550 3DD.003BF926C4"
"2018-09-13 17:03:27",53,"TAG: 01 04 07/02/2018 16:34:42.260 3DD.003BF926C4"
"2018-09-13 17:03:27",54,"TAG: 01 04 07/02/2018 16:35:42.180 3DD.003BF926C4"
"2018-09-13 17:03:27",55,"TAG: 01 04 07/02/2018 16:36:42.380 3DD.003BF926C4"
"2018-09-13 17:03:27",56,"TAG: 01 04 07/02/2018 16:37:43.230 3DD.003BF926C4"
"2018-09-13 17:03:27",57,"TAG: 01 04 07/02/2018 16:38:43.250 3DD.003BF926C4"
"2018-09-13 17:03:27",58,"TAG: 01 04 07/02/2018 16:39:43.110 3DD.003BF926C4"
"2018-09-13 17:03:27",59,"TAG: 01 04 07/02/2018 16:40:43.280 3DD.003BF926C4"
"2018-09-13 17:03:27",60,"TAG: 01 04 07/02/2018 16:41:43.330 3DD.003BF926C4"
"2018-09-13 17:03:27",61,"TAG: 01 04 07/02/2018 16:42:43.360 3DD.003BF926C4"
"2018-09-13 17:03:27",62,"TAG: 01 04 07/02/2018 16:43:43.210 3DD.003BF926C4"
"2018-09-13 17:03:27",63,"TAG: 01 04 07/02/2018 16:44:43.360 3DD.003BF926C4"
"2018-09-13 17:03:27",64,"TAG: 01 04 07/02/2018 16:45:43.550 3DD.003BF926C4"
"2018-09-13 17:03:27",65,"TAG: 01 04 07/02/2018 16:46:43.340 3DD.003BF926C4"
"2018-09-13 17:03:27",66,"TAG: 01 04 07/02/2018 16:47:43.380 3DD.003BF926C4"
"2018-09-13 17:03:27",67,"TAG: 01 04 07/02/2018 16:48:43.190 3DD.003BF926C4"
"2018-09-13 17:03:27",68,"TAG: 01 04 07/02/2018 16:49:43.170 3DD.003BF926C4"
